LON,LAT,VALUE
117.732,34.5667,111
117.3065,32.8985,111
117.0411667,32.64600333,111
113.5922,37.8561,111
110.7258,32.6389,111
118.37,31.4189,110
113.2464,35.1764,110
111.3296,30.7819,110
130.2719,46.8025,109
120.677,27.9939,109
118.3667,31.3139,109
118.1853,39.6407,109
116.5909,35.4053,109
116.0726,29.7534,109
115.9581,29.7048,109
115.0158,30.1594,109
121.6972,42.0503,108
121.1178,41.1222,108
120.671,28.0167,108
117.3086,32.935,108
116.0257,29.6995,108
112.44,39.3514,107
121.377,28.5773,106
117.5852,34.7745,106
117.0331,30.512,106
114.2511,30.5514,106
112.2747,30.3122,106
109.7289,38.2839,106
119.43,32.1319,105
118.749,32.0572,105
114.8131,30.4133,105
113.727,34.7187,105
113.3833,31.6908,105
107.6406,35.5236,105
89.1673,42.9559,105
84.8897,45.5828,105
82.0806,44.8969,105
75.9828,39.5371,105
126.6106,45.9819,104
123.3997,41.7972,104
123.2444,41.7347,104
118.144,39.643,104
117.307,31.8766,104
117.266,31.9438,104
117.259,31.8706,104
117.1814,34.29,104
117.0881,36.1942,104
102.1725,38.5339,104
120.3939,41.615,103
120.209,29.732,103
118.48,31.6928,103
118.4022,31.3839,103
118.3117,32.3039,103
117.0684,36.6868,103
115.6697,34.4286,103
107.6831,35.7289,103
105.9512,38.6016,103
104.148,35.94,103
103.7583,36.1058,103
121.6722,42.0228,101
119.5392,26.6611,101
119.18,31.955,101
118.7175,30.9431,101
118.3528,31.3508,101
118.3244,32.2786,101
117.3961,32.939,101
117.278,31.7386,101
115.6386,34.407,101
114.1525,30.4753,101
113.5753,37.8564,101
110.8839,32.5714,101
119.58,26.0931,100
119.12,36.7019,100
118.5106,31.7506,100
117.3575,32.9444,100
117.336,31.8585,100
116.7844,33.9461,100
115.6558,34.429,100
112.2068,30.3515,100
76.1861,39.7153,100
124.3711,43.1594,99
123.41,41.765,99
120.634,28.0089,99
120.251,29.719,99
119.579,31.751,99
119.3633,32.3972,99
119.1425,36.7008,99
117.244,34.2911,99
117.114,36.6739,99
116.9648,33.6252,99
116.0174,29.6535,99
115.9872,29.6816,99
115.0767,30.2028,99
110.0023,39.8129,99
109.0311,32.6778,99
106.1532,37.9648,99
121.554,29.8906,98
117.196,31.7848,98
117.0594,30.5342,98
114.8989,30.3714,98
114.2894,29.8539,98
122.2532,43.6801,96
121.6147222,29.90166667,96
119.579,31.737,96
119.299,26.1092,96
118.5058,31.6861,96
118.3236,29.7207,96
117.3536,32.9673,96
116.6305,35.428,96
116.5546,35.4039,96
115.0264,30.2099,96
113.6356,34.7538,96
113.3819,40.1097,96
109.4689,30.2819,96
86.2381,41.7128,96
125.325,43.8694,95
119.389,26.0542,95
119.315,26.0753,95
115.9114,29.6039,95
115.6125,34.445,95
114.3372,29.8686,95
113.4922,37.8792,95
112.9943,29.4402,95
109.0281,32.6939,95
106.2792,36.0022,95
126.55,43.8256,94
125.323,43.9167,94
123.542,41.8336,94
119.268,26.0797,94
118.795,32.0775,94
118.3057,29.7128,94
117.541,36.71,94
116.8008,33.975,94
115.893,28.6844,94
115.0625,30.2352,94
113.6844,34.7622,94
107.007,33.0323,94
128.8736,47.7222,93
126.4978,43.8228,93
122.2703,40.7094,93
121.586,29.8633,93
119.303,26.0392,93
113.5991,34.7496,93
110.78,32.6494,93
106.2328,38.4975,93
106.1024,38.49494,93
89.191,42.9409,93
117.1081,36.1758,92
119.8914,31.7897,91
119.1015,25.3214,91
118.7581,30.9447,91
118.6439,31.7133,91
117.8472,30.9697,91
117.256,34.2153,91
115.8886,28.6839,91
114.5330556,38.01777778,91
107.6364,35.7067,91
102.6486,37.9325,91
102.1864,38.5253,91
82.0485,44.9079,91
126.4078,41.9419,90
122.2414,40.6592,90
119.5228,26.6564,90
119.458,32.41361,90
117.7806,30.9414,90
116.951,33.666,90
113.883,35.303,90
113.641,34.7745,90
113.586606,24.769519,90
113.1992,35.259,90
112.522,37.8873,90
109.7336,38.2478,90
106.2375,36.0211,90
130.3961,46.8267,89
123.8436,41.3283,89
123.5953,41.9086,89
122.3039,43.6156,89
121.6592,42.0486,89
121.56,29.8208,89
121.0986,41.0781,89
120.4439,41.5931,89
119.647,29.077,89
118.7386,30.9742,89
117.16,31.9051,89
116.9622,28.095,89
114.3231,29.8211,89
113.13,27.8528,89
112.469,37.7124,89
111.9892,27.7044,89
111.7158,29.1456,89
111.7153,29.0289,89
111.6625,29.0531,89
106.2319,36.1417,89
106.1358,38.5036,89
120.04,29.334,88
119.68,32.1883,88
118.803,32.1083,88
116.988,36.6114,88
116.366,39.8673,88
115.9721,28.7031,88
130.3258,46.7975,86
120.127,30.2456,86
120.12,30.3119,86
119.5001,26.6946,86
117.4186,32.8913,86
113.5922,35.28385,86
113.227,35.213,86
112.7105,37.7087,86
105.1971,37.5002,86
102.6219,37.9311,86
129.5042,42.9061,85
121.633,29.7736,85
119.389,32.3761,85
119.1638,36.6525,85
118.746,36.881,85
118.696,37.43445,85
118.2045,39.6581,85
118.1838,39.65782,85
116.8709,38.3228,85
115.6426,37.7379,85
109.0072,32.6975,85
106.2275,38.44139,85
106.2025,37.9844,85
106.196,37.9723,85
104.1731,36.5458,85
